Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,512,species,Eurasian Wigeon,Mareca penelope,1,RNF de la Baie-de-L’Isle-Verte--secteur du Marais-de-Gros-Cacouna,CA-QC,03 Jul 2026,L610533,S367239669,,1
2,6147,species,Willet,Tringa semipalmata,1,Parc de l'Ancien-Quai,CA-QC,19 Jun 2026,L3048781,S360314010,,1
3,28037,species,Brown Thrasher,Toxostoma rufum,3,Parc de l'Ancien-Quai,CA-QC,17 Jun 2026,L3048781,S359140527,,1
4,34006,species,Mourning Warbler,Geothlypis philadelphia,1,"Saint-André-de-Kamouraska, MF17 (47.6488,-69.7345)",CA-QC,16 Jun 2026,L70367782,S358853052,,1
5,33232,species,Nelson's Sparrow,Ammospiza nelsoni,1,"111–147 Rte 132 O, Saint-André-de-Kamouraska CA-QC (47.6526,-69.7461)",CA-QC,15 Jun 2026,L70270723,S358021771,,1
6,33564,species,Bobolink,Dolichonyx oryzivorus,4,"185 Québec 132, Saint-Simon-de-Rimouski, Québec, CA (48.194, -69.069)",CA-QC,04 Jun 2026,L68962284,S352337438,,1
7,16949,species,Yellow-bellied Flycatcher,Empidonax flaviventris,1,Parc du Mont-Royal,CA-QC,19 May 2026,L453505,S342401478,,1
8,3243,species,Black-billed Cuckoo,Coccyzus erythropthalmus,1,Parc du Mont-Royal,CA-QC,19 May 2026,L453505,S342401478,,1
9,34057,species,Hooded Warbler,Setophaga citrina,1,Cimetières Mont-Royal et Notre-Dame-des-Neiges,CA-QC,16 May 2026,L806691,S341812519,,1
10,24106,species,Northern Rough-winged Swallow,Stelgidopteryx serripennis,1,"Arboretum, Parcs de la Frayère et des Voiles",CA-QC,13 May 2026,L320417,S338432304,,1
13,311,species,Pink-footed Goose,Anser brachyrhynchus,1,Pointe-aux-Anglais (cté Rimouski-Neigette),CA-QC,02 May 2026,L3044878,S331323076,,1
14,306,species,Tundra Bean-Goose,Anser serrirostris,1,Pointe-aux-Anglais (cté Rimouski-Neigette),CA-QC,02 May 2026,L3044878,S331323076,,1
15,287,species,Greater White-fronted Goose,Anser albifrons,3,Pointe-aux-Anglais (cté Rimouski-Neigette),CA-QC,02 May 2026,L3044878,S331323076,,1
16,7560,species,American Bittern,Botaurus lentiginosus,1,PN du Bic--tourbière,CA-QC,02 May 2026,L4638827,S331461667,,1
17,8866,species,Eastern Screech-Owl,Megascops asio,1,Parc Angrignon,CA-QC,23 Apr 2026,L2468319,S326198961,,1
