Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,32351,species,Yellow-bellied Siskin,Spinus xanthogastrus,1,Ecolodge La Minga (acceso restringido),CO-VAC,02 Nov 2024,L5573619,S202688327,,1
2,27390,species,Northern Chestnut-breasted Wren,Cyphorhinus dichrous,1,Ecolodge La Minga (acceso restringido),CO-VAC,02 Nov 2024,L5573619,S202688327,,1
3,14995,species,Montane Foliage-gleaner,Anabacerthia striaticollis,1,Ecolodge La Minga (acceso restringido),CO-VAC,02 Nov 2024,L5573619,S202688327,,1
4,17269,species,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,1,Ecolodge La Minga (acceso restringido),CO-VAC,01 Nov 2024,L5573619,S202689210,,1
5,16085,species,Marble-faced Bristle-Tyrant,Pogonotriccus ophthalmicus,2,Ecolodge La Minga (acceso restringido),CO-VAC,01 Nov 2024,L5573619,S202690099,,1
6,35026,species,Rusty Flowerpiercer,Diglossa sittoides,1,Ecolodge La Minga (acceso restringido),CO-VAC,01 Nov 2024,L5573619,S202690145,,1
7,33193,species,Choco Brushfinch,Atlapetes crassus,2,Alto Anchicayá - El Descanso (Doña Dora),CO-VAC,31 Oct 2024,L4375590,S200990190,,1
8,32754,species,Black-headed Brushfinch,Arremon atricapillus,1,Alto Anchicayá - El Descanso (Doña Dora),CO-VAC,31 Oct 2024,L4375590,S200990190,,1
10,10725,species,Toucan Barbet,Semnornis ramphastinus,5,Alto Anchicayá - El Descanso (Doña Dora),CO-VAC,31 Oct 2024,L4375590,S200990190,,1
11,10680,species,Spot-crowned Barbet,Capito maculicoronatus,2,Alto Anchicayá - El Descanso (Doña Dora),CO-VAC,31 Oct 2024,L4375590,S200990190,,1
12,4634,species,Rufous-gaped Hillstar,Urochroa bougueri,1,Alto Anchicayá - El Descanso (Doña Dora),CO-VAC,31 Oct 2024,L4375590,S200990190,,1
13,4559,species,Bronzy Inca,Coeligena coeligena,1,Alto Anchicayá - El Descanso (Doña Dora),CO-VAC,31 Oct 2024,L4375590,S200990190,,1
14,4383,species,Green Thorntail,Discosura conversii,8,Alto Anchicayá - El Descanso (Doña Dora),CO-VAC,31 Oct 2024,L4375590,S200990190,,1
15,4204,species,White-whiskered Hermit,Phaethornis yaruqui,1,Alto Anchicayá - El Descanso (Doña Dora),CO-VAC,31 Oct 2024,L4375590,S200990190,,1
16,34388,species,Oleaginous Hemispingus,Sphenopsis frontalis,3,Ecolodge La Minga (acceso restringido),CO-VAC,31 Oct 2024,L5573619,S200994557,,1
17,32575,species,Ashy-throated Chlorospingus,Chlorospingus canigularis,2,Ecolodge La Minga (acceso restringido),CO-VAC,31 Oct 2024,L5573619,S200994557,,1
18,18878,species,Black-billed Peppershrike,Cyclarhis nigrirostris,1,Ecolodge La Minga (acceso restringido),CO-VAC,31 Oct 2024,L5573619,S200994557,,1
20,16038,species,Streak-necked Flycatcher,Mionectes striaticollis,1,Ecolodge La Minga (acceso restringido),CO-VAC,31 Oct 2024,L5573619,S200994557,,1
21,15686,species,Green-and-black Fruiteater,Pipreola riefferii,2,Ecolodge La Minga (acceso restringido),CO-VAC,31 Oct 2024,L5573619,S200994557,,1
22,13455,species,Uniform Antshrike,Thamnophilus unicolor,3,Ecolodge La Minga (acceso restringido),CO-VAC,31 Oct 2024,L5573619,S200994557,,1
23,13065,species,Scarlet-fronted Parakeet,Psittacara wagleri,7,Ecolodge La Minga (acceso restringido),CO-VAC,31 Oct 2024,L5573619,S200994557,,1
24,1127,species,Chestnut Wood-Quail,Odontophorus hyperythrus,4,Ecolodge La Minga (acceso restringido),CO-VAC,31 Oct 2024,L5573619,S200994557,,1
25,35500,species,Black-winged Saltator,Saltator atripennis,2,Ecolodge La Minga (acceso restringido),CO-VAC,30 Oct 2024,L5573619,S201033019,,1
