Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,34153,species,Pine Warbler,Setophaga pinus,2,Boisé Beaupré,CA-QC,20 Jun 2026,L4642483,S360235146,,1
2,16924,species,Eastern Wood-Pewee,Contopus virens,2,Boisé Beaupré,CA-QC,20 Jun 2026,L4642483,S360235146,,1
3,6147,species,Willet,Tringa semipalmata,1,Parc de l'Ancien-Quai,CA-QC,19 Jun 2026,L3048781,S359910897,,1
4,28037,species,Brown Thrasher,Toxostoma rufum,3,Parc de l'Ancien-Quai,CA-QC,17 Jun 2026,L3048781,S358902943,,1
5,33232,species,Nelson's Sparrow,Ammospiza nelsoni,1,"111–147 Rte 132 O, Saint-André-de-Kamouraska CA-QC (47.6526,-69.7461)",CA-QC,15 Jun 2026,L70270723,S358020630,,1
6,28333,species,Hermit Thrush,Catharus guttatus,3,"Tourbière Oualette, côté crête",CA-QC,12 Jun 2026,L69892163,S356416414,,1
7,21181,species,Canada Jay,Perisoreus canadensis,2,Sentiers de Pointe-au-Père--secteur ouest,CA-QC,06 Jun 2026,L7857839,S353340078,,1
8,33217,species,Vesper Sparrow,Pooecetes gramineus,1,"St-Anaclet-de-Lessard, St-Anaclet-de-Lessard CA-QC (48.4787,-68.4400)",CA-QC,06 Jun 2026,L69163331,S353223799,,1
9,5297,species,Virginia Rail,Rallus limicola,2,"St-Anaclet-de-Lessard, St-Anaclet-de-Lessard CA-QC (48.4787,-68.4400)",CA-QC,06 Jun 2026,L69163331,S353223799,,1
10,33833,species,Brown-headed Cowbird,Molothrus ater,1,"506 Rue Principale O, St-Anaclet-de-Lessard CA-QC (48.4685,-68.4411)",CA-QC,06 Jun 2026,L69189731,S353340371,,1
11,3492,species,Common Nighthawk,Chordeiles minor,3,Rimouski Ouest,CA-QC,05 Jun 2026,L68258630,S353035395,,1
12,16951,species,Alder Flycatcher,Empidonax alnorum,4,Sentier du littoral et marais de Sacré-Cœur,CA-QC,02 Jun 2026,L8010925,S351379241,,1
17,31883,species,American Pipit,Anthus rubescens,1,Port de Matane,CA-QC,31 May 2026,L2738431,S350601022,,1
18,16890,species,Olive-sided Flycatcher,Contopus cooperi,1,Etang Dollard,CA-QC,31 May 2026,L2830324,S350601211,,1
19,34346,species,Wilson's Warbler,Cardellina pusilla,4,Forêt de la rue St Pierre,CA-QC,29 May 2026,L68199277,S348777289,,1
20,16949,species,Yellow-bellied Flycatcher,Empidonax flaviventris,1,Parc Beauséjour,CA-QC,28 May 2026,L2290070,S348482816,,1
21,6232,species,Semipalmated Sandpiper,Calidris pusilla,1,Parc Gonzague-Drapeau,CA-QC,25 May 2026,L1299077,S346247987,,1
22,8506,species,Red-tailed Hawk,Buteo jamaicensis,1,"Station d'épuration, Rimouski",CA-QC,23 May 2026,L3595741,S344719563,,1
23,6119,species,Wilson's Phalarope,Phalaropus tricolor,1,"Station d'épuration, Rimouski",CA-QC,23 May 2026,L3595741,S344719563,,1
24,5697,species,Sandhill Crane,Antigone canadensis,1,"Station d'épuration, Rimouski",CA-QC,23 May 2026,L3595741,S344719563,,1
25,730,species,White-winged Scoter,Melanitta deglandi,9,"Quai, Pointe-au-Père",CA-QC,23 May 2026,L2751569,S344725675,,1
26,6183,species,Stilt Sandpiper,Calidris himantopus,1,Parc Pointe-à-Pouliot,CA-QC,22 May 2026,L3675955,S344252318,,1
27,9219,species,Barred Owl,Strix varia,1,"Rimouski, Rimouski CA-QC (48.3644,-68.4242)",CA-QC,21 May 2026,L67269026,S344253167,,1
28,34557,species,Rose-breasted Grosbeak,Pheucticus ludovicianus,1,Etang Dollard,CA-QC,19 May 2026,L2830324,S342542249,,1
29,33973,species,Orange-crowned Warbler,Leiothlypis celata,1,Etang Dollard,CA-QC,19 May 2026,L2830324,S342542249,,1
30,5455,species,Sora,Porzana carolina,3,Parc du centre communautaire St-Pie-X,CA-QC,18 May 2026,L19225217,S341940951,,1
31,6048,species,Hudsonian Godwit,Limosa haemastica,1,Parc Pointe-à-Pouliot,CA-QC,18 May 2026,L3675955,S342066707,,1
32,27026,species,Brown Creeper,Certhia americana,1,Etang Dollard,CA-QC,17 May 2026,L2830324,S341424821,,1
33,28114,species,Northern Mockingbird,Mimus polyglottos,2,Parc Gonzague-Drapeau,CA-QC,17 May 2026,L1299077,S340948556,,1
34,742,species,Bufflehead,Bucephala albeola,1,Parc Gonzague-Drapeau,CA-QC,17 May 2026,L1299077,S340948556,,1
35,485,species,Blue-winged Teal,Spatula discors,3,Parc Gonzague-Drapeau,CA-QC,17 May 2026,L1299077,S340948556,,1
36,34057,species,Hooded Warbler,Setophaga citrina,1,Cimetières Mont-Royal et Notre-Dame-des-Neiges,CA-QC,16 May 2026,L806691,S340079600,,1
37,33770,species,Baltimore Oriole,Icterus galbula,1,Cimetières Mont-Royal et Notre-Dame-des-Neiges,CA-QC,16 May 2026,L806691,S340079600,,1
38,33187,species,White-crowned Sparrow,Zonotrichia leucophrys,1,Cimetières Mont-Royal et Notre-Dame-des-Neiges,CA-QC,16 May 2026,L806691,S340079600,,1
39,19245,species,Eastern Warbling Vireo,Vireo gilvus,2,Cimetières Mont-Royal et Notre-Dame-des-Neiges,CA-QC,16 May 2026,L806691,S340079600,,1
40,17334,species,Great Crested Flycatcher,Myiarchus crinitus,5,Cimetières Mont-Royal et Notre-Dame-des-Neiges,CA-QC,16 May 2026,L806691,S340079600,,1
41,8278,species,Cooper's Hawk,Astur cooperii,1,Cimetières Mont-Royal et Notre-Dame-des-Neiges,CA-QC,16 May 2026,L806691,S340079600,,1
42,34148,species,Palm Warbler,Setophaga palmarum,1,Parc La Fontaine,CA-QC,15 May 2026,L1333093,S339610608,,1
43,33981,species,Nashville Warbler,Leiothlypis ruficapilla,3,Parc La Fontaine,CA-QC,15 May 2026,L1333093,S339610608,,1
44,8487,species,Red-shouldered Hawk,Buteo lineatus,1,Parc La Fontaine,CA-QC,15 May 2026,L1333093,S339610608,,1
45,9820,species,Blue-cheeked Bee-eater,Merops persicus,1,"D 37E5, Capestang FR-Occitanie 43.28968, 3.08069",FR-OCC,01 May 2026,L64569305,S330588202,,1
46,22613,species,White-winged Lark,Alauda leucoptera,1,"Parc Naturel Régional de Camargue, Arles FR-Provence-Alpes-Côte d'Azur (43.3690,4.6283)",FR-PAC,19 Apr 2026,L63238861,S323903419,,1
51,31870,species,Red-throated Pipit,Anthus cervinus,1,Ile-de-re-Boucle_Passereaux_Saint-clément,FR-NAQ,20 Oct 2025,L40505308,S280531632,,1
54,31707,species,Citrine Wagtail,Motacilla citreola,1,Etang de Vic--Le Maupas,FR-OCC,13 Sep 2025,L5534243,S273346547,,1
55,6490,species,Laughing Gull,Leucophaeus atricilla,1,Puits de l’auture,FR-NAQ,27 Jun 2025,L48354349,S254445973,,1
56,4153,species,White-rumped Swift,Apus caffer,1,Pont Petit (Minerve),FR-OCC,23 Jun 2025,L11952310,S253624027,,1
59,6178,species,Broad-billed Sandpiper,Calidris falcinellus,1,Camargue--petit lac (nord de Saintes-Maries-de-La-Mer),FR-PAC,03 May 2025,L1143612,S232654027,,1
61,7655,species,Western Reef-Heron,Egretta gularis,1,Plage des Aresquiers,FR-OCC,23 Apr 2025,L11193620,S228452389,,1
62,6351,species,Black-winged Pratincole,Glareola nordmanni,1,"Petite Camargue, Aigues-Mortes FR-Occitanie (43.5832,4.1094)",FR-OCC,17 Apr 2025,L42818842,S226460476,,1
67,32263,species,Crimson-winged Finch,Rhodopechys sanguineus,3,"40000, Ighrem N Ougdal MA-Drâa-Tafilalet (31.1275,-7.3245)",MA-13,01 Mar 2025,L40748249,S216103575,,1
68,3651,species,Egyptian Nightjar,Caprimulgus aegyptius,2,"30070, Er-Rissani MA-Drâa-Tafilalet (31.2957,-3.9786)",MA-06,27 Feb 2025,L40672362,S215726553,,1
69,25339,species,African Desert Warbler,Curruca deserti,10,"30070, Er-Rissani MA-Drâa-Tafilalet 31.31704, -4.01621",MA-06,27 Feb 2025,L40672732,S215728327,,1
70,26640,species,Fulvous Chatterer,Argya fulva,6,عرق الشيبي-- منطقة التخييم | Erg Chebbi--Camping area,MA-06,27 Feb 2025,L30438809,S215727956,,1
71,2883,species,Crowned Sandgrouse,Pterocles coronatus,30,"Dunes de Merzouga, Er-Rissani MA-Drâa-Tafilalet 31.21030, -3.94875",MA-06,27 Feb 2025,L40672749,S215728403,,1
72,2876,species,Spotted Sandgrouse,Pterocles senegallus,100,"Dunes de Merzouga, Er-Rissani MA-Drâa-Tafilalet 31.21030, -3.94875",MA-06,27 Feb 2025,L40672749,S215728403,,1
