Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
4,31870,species,Red-throated Pipit,Anthus cervinus,1,Ile-de-re-Boucle_Passereaux_Saint-clément,FR-NAQ,20 Oct 2025,L40505308,S280531632,,1
7,31707,species,Citrine Wagtail,Motacilla citreola,1,Etang de Vic--Le Maupas,FR-OCC,13 Sep 2025,L5534243,S273346547,,1
8,6490,species,Laughing Gull,Leucophaeus atricilla,1,Puits de l’auture,FR-NAQ,27 Jun 2025,L48354349,S254445973,,1
9,4153,species,White-rumped Swift,Apus caffer,1,Pont Petit (Minerve),FR-OCC,23 Jun 2025,L11952310,S253624027,,1
12,6178,species,Broad-billed Sandpiper,Calidris falcinellus,1,Camargue--petit lac (nord de Saintes-Maries-de-La-Mer),FR-PAC,03 May 2025,L1143612,S232654027,,1
14,7655,species,Western Reef-Heron,Egretta gularis,1,Plage des Aresquiers,FR-OCC,23 Apr 2025,L11193620,S228452389,,1
15,6351,species,Black-winged Pratincole,Glareola nordmanni,1,"Petite Camargue, Aigues-Mortes FR-Occitanie (43.5832,4.1094)",FR-OCC,17 Apr 2025,L42818842,S226460476,,1
20,32263,species,Crimson-winged Finch,Rhodopechys sanguineus,3,"40000, Ighrem N Ougdal MA-Drâa-Tafilalet (31.1275,-7.3245)",MA-13,01 Mar 2025,L40748249,S216103575,,1
21,3651,species,Egyptian Nightjar,Caprimulgus aegyptius,2,"30070, Er-Rissani MA-Drâa-Tafilalet (31.2957,-3.9786)",MA-06,27 Feb 2025,L40672362,S215726553,,1
22,25339,species,African Desert Warbler,Curruca deserti,10,"30070, Er-Rissani MA-Drâa-Tafilalet 31.31704, -4.01621",MA-06,27 Feb 2025,L40672732,S215728327,,1
23,26640,species,Fulvous Chatterer,Argya fulva,6,عرق الشيبي-- منطقة التخييم | Erg Chebbi--Camping area,MA-06,27 Feb 2025,L30438809,S215727956,,1
24,2883,species,Crowned Sandgrouse,Pterocles coronatus,30,"Dunes de Merzouga, Er-Rissani MA-Drâa-Tafilalet 31.21030, -3.94875",MA-06,27 Feb 2025,L40672749,S215728403,,1
25,2876,species,Spotted Sandgrouse,Pterocles senegallus,100,"Dunes de Merzouga, Er-Rissani MA-Drâa-Tafilalet 31.21030, -3.94875",MA-06,27 Feb 2025,L40672749,S215728403,,1
26,31599,species,Desert Sparrow,Passer simplex,1,"30070, Er-Rissani MA-Drâa-Tafilalet (31.2159,-3.9759)",MA-06,27 Feb 2025,L40675191,S215740715,,1
27,21617,species,Brown-necked Raven,Corvus ruficollis,2,عرق الشيبي --الجزئ الشمالي | Erg Chebbi--nord,MA-06,26 Feb 2025,L1492356,S215577391,,1
28,25065,species,Scrub Warbler,Scotocerca inquieta,6,"25020, Ferkla Es-Soufla MA-Drâa-Tafilalet (31.5875,-4.9859)",MA-06,26 Feb 2025,L40645217,S215577625,,1
29,22375,species,Bar-tailed Lark,Ammomanes cinctura,2,"25020, Ferkla Es-Soufla MA-Drâa-Tafilalet (31.5875,-4.9859)",MA-06,26 Feb 2025,L40645217,S215577625,,1
30,25341,species,Tristram's Warbler,Curruca deserticola,1,أجراف تودرا (أيت باها ) | Gorges du Todra,MA-13,26 Feb 2025,L1053999,S215577718,,1
31,22374,species,Thick-billed Lark,Ramphocoris clotbey,2,بومالن دادس -- وادي الطيور | Vallée des Oiseaux (Tagdilt Track)--ancienne piste,MA-13,25 Feb 2025,L5153264,S215414434,,1
32,22337,species,Greater Hoopoe-Lark,Alaemon alaudipes,1,بومالن دادس -- وادي الطيور | Vallée des Oiseaux (Tagdilt Track)--ancienne piste,MA-13,25 Feb 2025,L5153264,S215414434,,1
33,29872,species,Mourning Wheatear,Oenanthe lugens,2,Falcon Nest Escarpment,MA-13,25 Feb 2025,L24651410,S215414489,,1
34,8941,species,Pharaoh Eagle-Owl,Bubo ascalaphus,1,Falcon Nest Escarpment,MA-13,25 Feb 2025,L24651410,S215414489,,1
35,29820,species,Red-rumped Wheatear,Oenanthe moesta,2,مطرح نفايات بومالن | Décharge de Boumalne,MA-13,25 Feb 2025,L4373527,S215414625,,1
36,22759,species,Temminck's Lark,Eremophila bilopha,3,مطرح نفايات بومالن | Décharge de Boumalne,MA-13,25 Feb 2025,L4373527,S215414625,,1
37,31965,species,African Chaffinch,Fringilla spodiogenys,15,"RN10, Hart MA-Drâa-Tafilalet 31.29887, -6.03889",MA-13,25 Feb 2025,L40615620,S215414559,,1
38,29858,species,White-crowned Wheatear,Oenanthe leucopyga,3,"Barrage Al Mansour Ad Dahbi, Tarmigt MA-Drâa-Tafilalet (30.9442,-6.8131)",MA-13,24 Feb 2025,L40583635,S215247865,,1
39,29799,species,Desert Wheatear,Oenanthe deserti,3,"Barrage Al Mansour Ad Dahbi, Tarmigt MA-Drâa-Tafilalet (30.9442,-6.8131)",MA-13,24 Feb 2025,L40583635,S215247865,,1
40,22382,species,Desert Lark,Ammomanes deserti,3,"Barrage Al Mansour Ad Dahbi, Tarmigt MA-Drâa-Tafilalet (30.9442,-6.8131)",MA-13,24 Feb 2025,L40583635,S215247865,,1
41,421,species,Ruddy Shelduck,Tadorna ferruginea,2,"Barrage Al Mansour Ad Dahbi, Tarmigt MA-Drâa-Tafilalet (30.9442,-6.8131)",MA-13,24 Feb 2025,L40583635,S215247865,,1
42,11672,species,Levaillant's Woodpecker,Picus vaillantii,1,"RN9, Ighrem N Ougdal MA-Drâa-Tafilalet 31.27970, -7.37800",MA-13,24 Feb 2025,L40584158,S215250397,,1
43,21463,species,Maghreb Magpie,Pica mauritanica,1,"Route de l'Ourika, Tassoultante MA-Marrakech-Safi 31.51421, -7.94677",MA-11,24 Feb 2025,L40583691,S215248010,,1
44,32788,species,House Bunting,Emberiza sahari,3,Dasofinya lodge,MA-11,24 Feb 2025,L40569496,S215168450,,1
45,31065,species,Indian Silverbill,Euodice malabarica,3,"2 Rue des Frênes, Montpellier FR-Occitanie 43.62592, 3.84828",FR-OCC,31 Jan 2025,L39840990,S211343776,N,1
46,32737,species,Pine Bunting,Emberiza leucocephalos,2,Camargue--Mas de Guinot,FR-PAC,11 Jan 2025,L39206892,S209003063,,1
47,8040,species,Greater Spotted Eagle,Clanga clanga,1,Petite Camargue--Les Cargattes,FR-OCC,11 Jan 2025,L3170465,S209003094,,1
48,29608,species,Moussier's Redstart,Phoenicurus moussieri,1,Cabane Raymond,FR-OCC,06 Jan 2025,L39222207,S208250960,,1
49,22710,species,Horned Lark,Eremophila alpestris,2,Île Madame,FR-NAQ,30 Dec 2024,L20871778,S207233965,,1
50,7342,species,Brown Booby,Sula leucogaster,1,Etang du Prévost,FR-OCC,07 Dec 2024,L13251486,S204680718,,1
51,12343,species,Alexandrine Parakeet,Psittacula eupatria,1,Filopappou Hill (Λόφος Φιλοπάππου),GR-I,10 Nov 2024,L1801094,S202068378,N,1
53,21521,species,House Crow,Corvus splendens,2,Cape Town--Road Lodge at Airport,ZA-WC,08 Aug 2024,L20612264,S190629333,N,1
54,24229,species,Greater Striped Swallow,Cecropis cucullata,1,"Auto selected -33.61476, 19.50877",ZA-WC,08 Aug 2024,L36194149,S193359309,,1
55,29773,species,Mountain Chat,Myrmecocichla monticola,2,"R355, Ceres ZA-WC -33.21064, 19.72575",ZA-WC,07 Aug 2024,L35565205,S190581911,,1
56,30442,species,Dusky Sunbird,Cinnyris fuscus,1,R355--R356 turnoff to Eierkop,ZA-WC,07 Aug 2024,L2609438,S190585441,,1
57,29741,species,Karoo Chat,Emarginata schlegelii,5,R355--R356 turnoff to Eierkop,ZA-WC,07 Aug 2024,L2609438,S190585441,,1
58,29737,species,Sickle-winged Chat,Emarginata sinuata,5,R355--R356 turnoff to Eierkop,ZA-WC,07 Aug 2024,L2609438,S190585441,,1
59,25299,species,Chestnut-vented Warbler,Curruca subcoerulea,2,R355--R356 turnoff to Eierkop,ZA-WC,07 Aug 2024,L2609438,S190585441,,1
60,23344,species,Rufous-eared Warbler,Malcorus pectoralis,20,R355--R356 turnoff to Eierkop,ZA-WC,07 Aug 2024,L2609438,S190585441,,1
61,22958,species,Karoo Eremomela,Eremomela gregalis,6,R355--R356 turnoff to Eierkop,ZA-WC,07 Aug 2024,L2609438,S190585441,,1
62,22461,species,Karoo Lark,Calendulauda albescens,8,R355--R356 turnoff to Eierkop,ZA-WC,07 Aug 2024,L2609438,S190585441,,1
63,21905,species,Fairy Flycatcher,Stenostira scita,2,R355--R356 turnoff to Eierkop,ZA-WC,07 Aug 2024,L2609438,S190585441,,1
64,9425,species,White-backed Mousebird,Colius colius,3,R355--R356 turnoff to Eierkop,ZA-WC,07 Aug 2024,L2609438,S190585441,,1
65,8111,species,Pale Chanting-Goshawk,Melierax canorus,3,R355--R356 turnoff to Eierkop,ZA-WC,07 Aug 2024,L2609438,S190585441,,1
66,2953,species,Black Bustard,Afrotis afra,1,R355--R356 turnoff to Eierkop,ZA-WC,07 Aug 2024,L2609438,S190585441,,1
68,28945,species,Karoo Scrub-Robin,Tychaedon coryphoeus,2,De Hoop Nature Reserve,ZA-WC,06 Aug 2024,L941566,S190579369,,1
69,22364,species,Cape Long-billed Lark,Certhilauda curvirostris,2,De Hoop Nature Reserve,ZA-WC,06 Aug 2024,L941566,S190579369,,1
70,22648,species,Large-billed Lark,Galerida magnirostris,2,"Auto selected -34.45399, 20.40466",ZA-WC,06 Aug 2024,L35564065,S190577495,,1
71,32423,species,White-throated Canary,Crithagra albogularis,2,De Hoop NR--Lakeside Walking Trail,ZA-WC,06 Aug 2024,L4150022,S190410296,,1
72,20096,species,Southern Tchagra,Tchagra tchagra,2,De Hoop NR--Lakeside Walking Trail,ZA-WC,06 Aug 2024,L4150022,S190410296,,1
73,10979,species,Lesser Honeyguide,Indicator minor,2,De Hoop NR--Lakeside Walking Trail,ZA-WC,06 Aug 2024,L4150022,S190410296,,1
74,7800,species,Great White Pelican,Pelecanus onocrotalus,8,De Hoop NR--Lakeside Walking Trail,ZA-WC,06 Aug 2024,L4150022,S190410296,,1
