Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,34631,species,Blue-and-yellow Tanager,Rauenia bonariensis,2,Quito Airport Suites Hotel,EC-P,10 Mar 2025,L9457956,S217675488,,1
2,5132,species,Purple-chested Hummingbird,Polyerata rosenbergi,1,Quito Airport Suites Hotel,EC-P,10 Mar 2025,L9457956,S217675488,,1
3,4857,species,Western Emerald,Chlorostilbon melanorhynchus,1,Quito Airport Suites Hotel,EC-P,10 Mar 2025,L9457956,S217675488,,1
4,33318,species,Peruvian Meadowlark,Leistes bellicosus,2,Aeropuerto de Guayaquil y alrededores,EC-G,09 Mar 2025,L4878075,S217607015,,1
5,35475,species,Large Ground-Finch,Geospiza magnirostris,1,Santa Cruz--Los Gemelos (senderos y alrededores),EC-W,08 Mar 2025,L1629572,S217269845,,1
6,6992,species,Wedge-rumped Storm-Petrel,Hydrobates tethys,1,"Santa Cruz<-->Isabela pelagic crossing (for ""historical"" checklists only; do not use hotspots for checklists with eBird pelagic protocol)",EC-W,07 Mar 2025,L2679170,S217270388,,1
7,6985,species,Band-rumped Storm-Petrel,Hydrobates castro,1,"Santa Cruz<-->Isabela pelagic crossing (for ""historical"" checklists only; do not use hotspots for checklists with eBird pelagic protocol)",EC-W,07 Mar 2025,L2679170,S217270388,,1
8,5411,species,Common Gallinule,Gallinula galeata,1,Isabela--Concha de Perla,EC-W,06 Mar 2025,L7173858,S217267550,,1
9,35481,species,Common Cactus-Finch,Geospiza scandens,5,Isabela--Muro de las Lágrimas y alrededores,EC-W,06 Mar 2025,L10293551,S216911113,,1
10,6732,species,American Flamingo,Phoenicopterus ruber,4,Isabela--Muro de las Lágrimas y alrededores,EC-W,06 Mar 2025,L10293551,S216911113,,1
11,3187,species,Dark-billed Cuckoo,Coccyzus melacoryphus,5,Isabela--Muro de las Lágrimas y alrededores,EC-W,06 Mar 2025,L10293551,S216911113,,1
12,564,species,White-cheeked Pintail,Anas bahamensis,2,Isabela--Muro de las Lágrimas y alrededores,EC-W,06 Mar 2025,L10293551,S216911113,,1
13,7271,species,Nazca Booby,Sula granti,6,"Santa Cruz<-->Isabela pelagic crossing (for ""historical"" checklists only; do not use hotspots for checklists with eBird pelagic protocol)",EC-W,05 Mar 2025,L2679170,S216911161,,1
14,7058,species,Galapagos Petrel,Pterodroma phaeopygia,3,"Santa Cruz<-->Isabela pelagic crossing (for ""historical"" checklists only; do not use hotspots for checklists with eBird pelagic protocol)",EC-W,05 Mar 2025,L2679170,S216911161,,1
15,6879,species,Galapagos Penguin,Spheniscus mendiculus,2,"Santa Cruz<-->Isabela pelagic crossing (for ""historical"" checklists only; do not use hotspots for checklists with eBird pelagic protocol)",EC-W,05 Mar 2025,L2679170,S216911161,,1
16,6836,species,Red-billed Tropicbird,Phaethon aethereus,1,"Santa Cruz<-->Isabela pelagic crossing (for ""historical"" checklists only; do not use hotspots for checklists with eBird pelagic protocol)",EC-W,05 Mar 2025,L2679170,S216911161,,1
17,6059,species,Red-necked Phalarope,Phalaropus lobatus,150,"Santa Cruz<-->Isabela pelagic crossing (for ""historical"" checklists only; do not use hotspots for checklists with eBird pelagic protocol)",EC-W,05 Mar 2025,L2679170,S216911161,,1
18,35470,species,Small Tree-Finch,Camarhynchus parvulus,1,Santa Cruz--Media Luna,EC-W,05 Mar 2025,L1611431,S216773694,,1
